,name,nickname,wins_x,losses_x,draws_x,height_x,weight,reach_x,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins),wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge
3461,Rickson Zenidim,The King,14.0,2.0,0,"5' 7""",125 lbs.,"67""",Orthodox,"Feb 17, 1999",1.67,32%,4.07,33%,0.0,0%,0%,0.0,0.0,1.0,0.0,,,24.0,"Ponta Grossa, Brazil",32%,25 of 78,0%,,1.67,0.0,34%,0.0,4.07,0.0,,15:00,both
3462,Ricky Calatayud,106,16.0,2.0,0,"5' 9""",125 lbs.,--,,"Oct 10, 1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,40.0,"Escondido, United States",,,33%,,,,,,,,,00:00,both
3463,Ricky Camp, Slick,11.0,4.0,0,"5' 7""",135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,31.0,Guam,,,0%,,,,,,,,,00:00,both
3464,Ricky Glenn,The Gladiator,22.0,8.0,2,"6' 0""",155 lbs.,"70""",Southpaw,"Apr 12, 1989",3.94,43%,4.1,51%,0.55,13%,68%,0.4,22.0,8.0,2.0,72.0,70.5,34.0,"Marshalltown, United States",43%,433 of 1006,13%,4 of 30,3.94,0.55,52%,0.41,4.1,0.41,68%,10:59,both
3468,Ricky Rainey,The Sniper,12.0,6.0,0,"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983",2.55,48%,2.62,46%,0.95,18%,55%,0.0,13.0,6.0,0.0,73.0,77.0,39.0,"Gastonia, United States",49%,81 of 166,18%,,2.55,0.95,46%,0.47,2.62,0.0,56%,07:56,both
3469,Ricky Simon,723,20.0,5.0,0,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",3.01,43%,3.61,61%,5.49,46%,76%,0.4,20.0,5.0,0.0,66.0,69.0,31.0,"Pendleton, United States",44%,501 of 1144,47%,9 of 131,3.01,5.49,62%,0.36,3.61,0.36,77%,12:49,both
3470,Ricky Steele,The Karate Kid,6.0,0.0,0,"5' 9""",135 lbs.,"74""",Orthodox,"May 26, 1988",4.07,70%,2.93,50%,0.0,0%,91%,0.0,0.0,0.0,0.0,,,35.0,"Indio, United States",71%,61 of 86,0%,,4.07,0.0,50%,0.0,2.93,0.0,92%,15:00,both
3471,Ricky Turcios,792,13.0,3.0,0,"5' 9""",135 lbs.,"71""",Orthodox,"Jun 05, 1993",5.08,37%,3.7,55%,1.0,25%,45%,0.2,13.0,3.0,0.0,69.0,71.0,30.0,"Houston, United States",38%,305 of 812,25%,2 of 16,5.08,1.0,55%,0.25,3.7,0.25,46%,15:00,both
3473,Rico DiSciullo,177,9.0,2.0,0 (1 NC),"5' 8""",135 lbs.,--,Orthodox,"Oct 12, 1986",1.71,33%,4.41,56%,0.0,0%,0%,0.0,9.0,3.0,0.0,68.0,71.0,36.0,"Cambridge, United States",33%,21 of 63,0%,,1.71,0.0,56%,0.0,4.41,0.0,,12:15,both
3474,Rico Farrington,The Triggerman,7.0,3.0,0,"6' 4""",170 lbs.,"79""",Southpaw,"Jun 19, 1989",6.33,41%,7.2,51%,0.0,0%,20%,0.0,0.0,0.0,0.0,,,34.0,Bahamas,42%,95 of 227,,,6.33,0.0,52%,0.0,7.2,0.0,20%,15:00,both
3475,Riki Fukuda,242,24.0,9.0,0 (1 NC),"6' 0""",185 lbs.,"73""",Southpaw,"Jan 06, 1981",4.24,43%,3.71,64%,2.17,43%,70%,0.0,19.0,7.0,0.0,72.0,,42.0,Japan,46%,350 of 757,45%,,4.67,2.6,64%,0.0,4.45,0.0,70%,15:00,both
3478,Rin Nakai,537,19.0,2.0,1,"5' 1""",135 lbs.,--,Orthodox,"Oct 22, 1986",1.57,33%,3.9,60%,3.0,18%,75%,0.5,16.0,2.0,1.0,61.0,60.0,36.0,Japan,34%,47 of 139,19%,,1.57,3.0,61%,0.0,3.9,0.5,75%,15:00,both
3479,Rinat Fakhretdinov,Gladiator,21.0,1.0,1,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 28, 1991",4.05,56%,2.16,52%,4.25,46%,100%,0.3,21.0,1.0,1.0,72.0,74.0,32.0,"Mordovia Republic, Russia",56%,186 of 332,46%,5 of 28,4.05,4.25,53%,0.98,2.16,0.33,100%,11:29,both
3480,Rinya Nakamura,Hybred,9.0,0.0,0,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 23, 1995",3.53,54%,1.38,67%,3.72,90%,100%,1.6,9.0,0.0,0.0,67.0,68.5,28.0,Japan,55%,128 of 234,90%,,3.53,3.72,67%,1.65,1.38,1.65,100%,07:16,both
3481,Rizvan Kuniev,402,11.0,2.0,1,"6' 4""",240 lbs.,"76""",Orthodox,"Oct 03, 1992",7.09,73%,1.55,51%,4.09,75%,0%,0.0,1.0,0.0,0.0,76.0,76.0,30.0,,74%,78 of 106,75%,,7.09,4.09,51%,0.0,1.55,0.0,,11:00,both
3482,Roan Carneiro,Jucao,21.0,11.0,0,"5' 11""",170 lbs.,"76""",Orthodox,"Jun 02, 1978",1.46,46%,1.82,62%,3.05,42%,83%,1.4,21.0,11.0,0.0,69.0,74.0,45.0,"Rio De Janeiro, Brazil",47%,136 of 290,42%,,1.46,3.05,63%,0.0,1.82,1.45,83%,09:20,both
3483,Rob Broughton,The Bear,16.0,7.0,1,"6' 2""",265 lbs.,"74""",Orthodox,"Mar 03, 1983",2.83,60%,2.54,51%,0.0,0%,26%,3.2,15.0,7.0,1.0,74.0,,40.0,"St. Helens, United Kingdom",60%,118 of 196,0%,,2.83,0.0,52%,0.0,2.54,3.24,27%,13:54,both
3484,Rob Emerson,The Saint,18.0,12.0,0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.5,30%,2.83,64%,2.02,52%,65%,0.4,11.0,9.0,0.0,69.0,,41.0,"Newport Beach, United States",31%,185 of 602,53%,,2.5,2.02,65%,0.4,2.83,0.4,66%,10:35,both
3485,Rob Font,235,20.0,8.0,0,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.53,45%,3.65,56%,0.89,35%,46%,0.3,20.0,8.0,0.0,68.0,71.5,36.0,"Leominster, United States",46%,1206 of 2636,35%,5 of 37,5.53,0.89,56%,0.48,3.65,0.34,46%,12:50,both
3486,Rob Kimmons,The Rosedale Reaper,25.0,9.0,0,"5' 10""",185 lbs.,"73""",Orthodox,"Jan 30, 1981",1.86,48%,4.79,38%,2.08,46%,25%,2.4,23.0,7.0,0.0,70.0,,42.0,United States,49%,94 of 193,47%,,1.86,2.08,38%,0.0,4.79,2.37,25%,07:13,both
3487,Rob MacDonald,Maximus,5.0,4.0,0,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978",1.8,50%,2.04,46%,7.19,80%,80%,5.4,4.0,3.0,0.0,75.0,,44.0,"Capreol, Canada",50%,15 of 30,80%,,1.8,7.19,47%,0.0,2.04,5.39,80%,02:47,both
3491,Rob Wilkinson,Razor,11.0,2.0,0,"6' 3""",185 lbs.,"80""",Orthodox,"Feb 22, 1992",2.74,50%,5.66,39%,4.47,25%,0%,0.0,11.0,2.0,0.0,75.0,80.0,31.0,Australia,50%,46 of 92,25%,5 of 20,2.74,4.47,39%,0.0,5.66,0.0,,08:24,both
3492,Rob Yundt,Monster,9.0,5.0,0,"6' 1""",185 lbs.,--,Orthodox,"May 05, 1980",1.37,41%,2.55,31%,2.94,100%,0%,0.0,7.0,2.0,0.0,73.0,,43.0,"Wasilla, United States",41%,7 of 17,100%,,1.37,2.94,32%,0.0,2.55,0.0,,02:33,both
3493,Robbie Lawler,Ruthless,30.0,16.0,0 (1 NC),"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",3.85,47%,4.67,59%,0.65,64%,65%,0.0,30.0,16.0,0.0,71.0,74.0,41.0,"San Diego, United States",47%,1605 of 3411,64%,16 of 28,3.85,0.65,59%,0.61,4.67,0.0,65%,11:16,both
3495,Robbie Ring,Razor,6.0,1.0,0,"5' 9""",145 lbs.,"68""",Orthodox,"Jul 14, 2000",5.11,38%,9.15,38%,4.04,33%,0%,0.0,0.0,1.0,0.0,,,23.0,United States,38%,19 of 50,33%,,5.11,4.04,38%,0.0,9.15,0.0,,03:43,both
3496,Robelis Despaigne,The Big Boy,5.0,0.0,0,"6' 7""",265 lbs.,"84""",Orthodox,"Sep 09, 1988",23.33,77%,6.67,60%,0.0,0%,0%,0.0,5.0,0.0,0.0,79.0,87.0,35.0,Cuba,78%,7 of 9,,,23.33,0.0,60%,50.0,6.67,0.0,,00:18,both
3498,Robert Bryczek,98,17.0,6.0,0,"6' 0""",185 lbs.,"75""",Orthodox,"Jul 04, 1990",2.13,24%,4.47,60%,0.0,0%,100%,0.0,17.0,6.0,0.0,72.0,,33.0,Poland,24%,32 of 133,,,2.13,0.0,60%,0.0,4.47,0.0,100%,15:00,both
3500,Robert Drysdale,189,7.0,0.0,0 (1 NC),"6' 3""",205 lbs.,--,Orthodox,"Oct 05, 1981",0.0,0%,0.0,0%,7.32,100%,0%,21.9,7.0,0.0,0.0,75.0,,41.0,United States,0%,0 of 5,100%,,0.0,7.32,,0.0,0.0,21.95,,02:03,both
3501,Robert Lucarelli,448,0.0,1.0,0,"6' 2""",245 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,,United States,,,0%,,,,,,,,,,both
3506,Robert Whittaker,The Reaper,26.0,7.0,0,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 20, 1990",4.57,42%,3.45,59%,0.81,38%,82%,0.0,26.0,7.0,0.0,72.0,73.5,33.0,"Otahuhu, Australia",43%,1353 of 3156,38%,4 of 42,4.57,0.81,60%,0.51,3.45,0.0,83%,14:07,both
3509,Roberto Traven,Spider,6.0,4.0,1,"6' 3""",227 lbs.,--,Orthodox,"Sep 16, 1968",0.92,50%,2.77,57%,0.0,0%,0%,0.0,4.0,1.0,0.0,74.0,,54.0,Brazil,50%,1 of 2,,,0.92,0.0,57%,0.0,2.77,0.0,,01:05,both
3510,Rocky Lee,424,3.0,2.0,0,"5' 9""",145 lbs.,--,Orthodox,"Apr 08, 1987",2.47,51%,5.33,44%,1.0,10%,33%,0.0,3.0,1.0,0.0,69.0,,36.0,China,51%,37 of 72,10%,,2.47,1.0,44%,0.0,5.33,0.0,33%,15:00,both
3513,Rodney Wallace,Shonuff the Master,26.0,15.0,1,"5' 9""",205 lbs.,"72""",Switch,"Nov 21, 1981",1.13,46%,3.44,45%,6.0,54%,28%,1.0,9.0,2.0,0.0,69.0,,41.0,"Bamberg, United States",46%,51 of 110,55%,,1.13,6.0,45%,0.0,3.44,1.0,29%,15:00,both
3514,Rodolfo Bellato,Trator,12.0,2.0,0,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 05, 1996",6.47,61%,5.9,44%,1.09,25%,100%,0.5,12.0,2.0,0.0,75.0,75.5,28.0,Brazil,62%,179 of 289,25%,1 of 8,6.47,1.09,44%,0.54,5.9,0.54,100%,09:13,both
3518,Rodolfo Vieira,814,10.0,2.0,0,"6' 0""",185 lbs.,"73""",Orthodox,"Sep 25, 1989",3.19,54%,4.6,49%,4.18,30%,100%,1.6,10.0,2.0,0.0,72.0,73.0,34.0,"Rio de Janeiro, Brazil",55%,183 of 334,30%,3 of 53,3.19,4.18,49%,0.0,4.6,1.57,100%,08:12,both
3519,Rodrigo Damm,152,13.0,9.0,0,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",3.5,36%,5.61,57%,0.44,16%,80%,0.3,12.0,9.0,0.0,67.0,,43.0,"Vila Velha, Brazil",24%,4 of 17,,,,,,,,,,00:00,both
3522,Rodrigo Lidio,Dynamis,12.0,3.0,0,"5' 11""",155 lbs.,"73""",Orthodox,"Jul 07, 1989",0.97,50%,0.0,100%,0.0,0%,50%,0.0,0.0,1.0,0.0,,,33.0,,50%,3 of 6,,,0.97,0.0,100%,0.0,0.0,0.0,50%,03:05,both
3523,Rodrigo Nascimento,Ze Colmeia,11.0,1.0,0 (1 NC),"6' 2""",246 lbs.,"80""",Orthodox,"Nov 26, 1992",4.31,48%,4.76,43%,1.2,33%,77%,0.7,11.0,1.0,0.0,74.0,80.0,31.0,"Belo Horizonte, Brazil",48%,270 of 560,33%,2 of 15,4.31,1.2,43%,0.0,4.76,0.72,78%,08:56,both
3524,Rodrigo Ruas,661,4.0,5.0,1 (1 NC),"5' 10""",185 lbs.,--,Orthodox,"Oct 06, 1977",1.28,35%,7.0,41%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,45.0,"Rio de Janeiro, Brazil",35%,11 of 31,,,1.28,0.0,41%,0.0,7.0,0.0,,08:34,both
3525,Rodrigo de Lima,Monstro,8.0,3.0,1,"5' 7""",155 lbs.,--,Orthodox,"Mar 12, 1991",1.29,33%,5.5,32%,2.66,36%,0%,1.3,8.0,3.0,1.0,67.0,75.0,31.0,Brazil,34%,29 of 86,36%,,1.29,2.66,33%,0.0,5.5,1.33,,11:16,both
3526,Roger Bowling,Relentless,12.0,6.0,0 (1 NC),"5' 9""",155 lbs.,"68""",Orthodox,"Dec 05, 1982",3.9,47%,3.86,51%,3.09,43%,27%,0.9,11.0,5.0,0.0,69.0,68.0,41.0,United States,47%,265 of 561,44%,,3.9,3.09,51%,0.22,3.86,0.88,27%,08:55,both
3528,Roger Gracie,281,8.0,2.0,0,"6' 4""",185 lbs.,"79""",Orthodox,"Sep 26, 1981",1.78,35%,1.79,61%,1.87,53%,60%,1.9,6.0,2.0,0.0,76.0,79.0,41.0,"Rio de Janeiro, Brazil",41%,12 of 29,50%,,0.8,2.0,61%,0.0,6.73,0.0,60%,15:00,both
3529,Roger Hollett,The Hulk,13.0,5.0,0,"5' 11""",205 lbs.,--,Orthodox,"Oct 08, 1978",1.83,47%,6.47,34%,1.0,28%,30%,0.0,13.0,5.0,0.0,71.0,,44.0,Canada,47%,55 of 116,29%,,1.83,1.0,34%,0.0,6.47,0.0,30%,15:00,both
3530,Roger Huerta,El Matador,23.0,9.0,1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"May 20, 1983",3.64,36%,2.33,56%,2.13,46%,52%,0.5,22.0,3.0,1.0,69.0,,40.0,"Los Angeles, United States",37%,333 of 911,46%,,3.64,2.13,57%,0.0,2.33,0.49,53%,11:26,both
3531,Roger Narvaez,Silverback,8.0,3.0,0,"6' 3""",185 lbs.,--,Southpaw,"Sep 09, 1983",2.12,37%,3.32,64%,0.0,0%,50%,0.9,7.0,2.0,0.0,75.0,79.0,39.0,United States,37%,67 of 181,0%,,2.12,0.0,65%,0.47,3.32,0.95,50%,10:32,both
3532,Roger Zapata,Viva,4.0,2.0,0,"5' 11""",170 lbs.,--,Southpaw,"May 09, 1986",2.6,51%,2.13,36%,0.0,0%,81%,1.4,4.0,3.0,0.0,71.0,74.0,37.0,Dominican Republic,52%,28 of 54,0%,,2.6,0.0,36%,0.0,2.13,1.39,82%,10:47,both
3533,Rogerio Bontorin,82,16.0,4.0,0 (2 NC),"5' 5""",125 lbs.,"67""",Orthodox,"Apr 25, 1992",2.63,52%,3.27,50%,2.9,60%,51%,1.0,17.0,4.0,0.0,65.0,67.0,31.0,"State of São Paulo, Brazil",53%,204 of 387,60%,1 of 25,2.63,2.9,50%,0.0,3.27,0.97,52%,11:04,both
3535,Roland Delorme,162,9.0,5.0,0 (1 NC),"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",2.28,44%,4.32,40%,2.51,34%,42%,1.6,9.0,4.0,0.0,69.0,71.0,39.0,Canada,44%,150 of 339,34%,,2.28,2.51,40%,0.46,4.32,1.6,43%,09:24,both
3536,Roland Payne,590,0.0,1.0,0,"5' 9""",205 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,,"Charlotte, United States",,,100%,,,,,,,,,,both
3537,Rolando Bedoya,The Machine,14.0,3.0,0,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 13, 1997",8.7,55%,6.83,52%,0.0,0%,0%,0.0,14.0,3.0,0.0,71.0,74.98,26.0,"Callao Region, Peru",56%,261 of 467,0%,,8.7,0.0,53%,0.0,6.83,0.0,,15:00,both
3538,Rolando Delgado,Roli,11.0,6.0,1,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",1.56,40%,1.83,62%,1.17,22%,0%,3.5,8.0,5.0,1.0,75.0,,41.0,"San Diego, United States",40%,40 of 100,22%,,1.56,1.17,62%,0.58,1.83,3.51,,08:33,both
3539,Rolando Dy,Dy Incredible,9.0,7.0,1 (1 NC),"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",3.04,37%,4.47,52%,0.3,20%,68%,0.0,9.0,6.0,1.0,68.0,69.5,32.0,,38%,151 of 401,20%,1 of 5,3.04,0.3,52%,0.3,4.47,0.0,68%,12:25,both
3541,Roldan Sangchaan,The Executioner,4.0,2.0,0,"5' 4""",125 lbs.,--,Orthodox,"Dec 04, 1990",2.71,46%,2.15,51%,1.94,60%,68%,0.0,4.0,2.0,0.0,64.0,65.0,32.0,"Manilla, Philippines",47%,63 of 135,60%,,2.71,1.94,52%,0.0,2.15,0.0,69%,11:37,both
3542,Rolles Gracie,280,8.0,4.0,0,"6' 4""",242 lbs.,--,Orthodox,"Jul 14, 1978",2.3,32%,3.38,55%,2.3,10%,0%,0.0,3.0,1.0,0.0,76.0,,44.0,"Rio de Janeiro, Brazil",33%,15 of 46,10%,,2.3,2.3,55%,0.0,3.38,0.0,,06:31,both
3543,Roman Bogatov,80,10.0,1.0,0,"5' 8""",155 lbs.,"73""",Orthodox,"Dec 15, 1990",3.33,42%,4.4,44%,1.0,9%,50%,0.0,10.0,1.0,0.0,68.0,73.5,32.0,"Kostanay, Kazakhstan",43%,50 of 117,9%,,3.33,1.0,45%,0.0,4.4,0.0,50%,15:00,both
3545,Roman Dolidze,182,12.0,3.0,0,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988",2.62,39%,3.36,51%,1.3,40%,33%,1.3,12.0,3.0,0.0,74.0,76.0,35.0,"Batumi, Georgia",39%,272 of 692,41%,9 of 22,2.62,1.3,51%,0.58,3.36,1.3,33%,11:31,both
3546,Roman Kopylov,394,12.0,3.0,0,"6' 0""",185 lbs.,"75""",Southpaw,"May 04, 1991",4.66,54%,4.1,60%,0.42,50%,87%,0.0,12.0,3.0,0.0,72.0,75.0,31.0,"Kemerovo Oblast, Russia",54%,336 of 621,50%,,4.66,0.42,60%,0.83,4.1,0.0,87%,10:18,both
3547,Roman Mitichyan,The Emperor,8.0,3.0,0,"5' 10""",170 lbs.,--,Orthodox,"Sep 04, 1978",0.26,16%,2.7,43%,1.93,100%,25%,1.9,9.0,2.0,0.0,70.0,,44.0,Armenia,17%,2 of 12,100%,,0.26,1.93,43%,0.0,2.7,1.93,25%,03:54,both
3548,Roman Salazar,El Gallito,10.0,6.0,0 (1 NC),"5' 7""",135 lbs.,--,Orthodox,"Feb 21, 1988",1.95,39%,2.89,57%,1.77,18%,50%,0.0,9.0,4.0,0.0,67.0,67.0,35.0,United States,39%,33 of 84,18%,,1.95,1.77,57%,0.0,2.89,0.0,50%,05:39,both
3550,Romie Aram,38,7.0,1.0,0,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",1.8,35%,2.83,50%,2.5,62%,83%,0.0,6.0,0.0,0.0,69.0,,45.0,"Ontario, United States",34%,24 of 70,50%,,1.6,2.0,50%,1.0,5.67,0.0,83%,15:00,both
3551,Ron Faircloth,218,33.0,20.0,0 (1 NC),"5' 9""",205 lbs.,--,Orthodox,"Aug 16, 1979",0.39,40%,8.9,42%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,43.0,"Stoughton, United States",40%,2 of 5,,,0.39,0.0,43%,0.0,8.9,0.0,,05:10,both
3556,Ron Stallings,The Choir Boy,14.0,8.0,0 (1 NC),"6' 2""",170 lbs.,"75""",Southpaw,"Jan 25, 1983",3.22,60%,3.26,51%,0.0,0%,71%,0.0,13.0,8.0,0.0,72.0,75.0,40.0,"Durham, United States",61%,84 of 138,,,3.22,0.0,51%,0.0,3.26,0.0,71%,10:16,both
3558,Ron Waterman,H,16.0,6.0,2,"6' 2""",280 lbs.,--,Orthodox,"Nov 23, 1965",0.84,50%,1.37,42%,4.19,69%,50%,2.8,16.0,6.0,0.0,74.0,,57.0,"Greeley, United States",50%,27 of 54,69%,,0.84,4.19,43%,0.0,1.37,2.79,50%,06:12,both
3560,Ronal Siahaan,Naga Sakti,7.0,1.0,0,"5' 7""",125 lbs.,"71""",Southpaw,"May 05, 1996",0.63,66%,6.17,25%,0.0,0%,25%,0.0,0.0,1.0,0.0,,,27.0,Indonesia,,,39%,4 of 49,,,,,,,,00:00,both
3562,Ronald Jhun,The Machine Gun,24.0,26.0,2,"5' 11""",170 lbs.,--,Orthodox,"Sep 21, 1970",1.45,57%,3.01,50%,1.81,100%,100%,0.0,26.0,12.0,2.0,71.0,,52.0,"Honolulu, United States",50%,8 of 16,100%,,1.27,2.39,51%,0.0,3.98,0.0,100%,06:17,both
3563,Ronaldo Candido,Pacman,6.0,0.0,0,"5' 6""",125 lbs.,--,Southpaw,"Apr 24, 1989",1.67,42%,3.87,52%,8.0,53%,0%,5.0,5.0,2.0,0.0,67.0,,34.0,,42%,25 of 59,53%,,1.67,8.0,52%,0.0,3.87,5.0,,15:00,both
3564,Ronaldo Rodriguez,Lazy Boy,17.0,2.0,0,"5' 6""",125 lbs.,"65""",Orthodox,"May 07, 1999",2.0,41%,3.56,47%,1.2,50%,63%,1.8,17.0,2.0,0.0,66.0,65.5,24.0,"Chiapas, Mexico",42%,50 of 120,50%,,2.0,1.2,47%,0.0,3.56,1.8,64%,12:30,both
3566,Ronda Rousey,Rowdy,12.0,2.0,0,"5' 7""",135 lbs.,"66""",Orthodox,"Feb 01, 1987",4.17,52%,4.14,44%,6.26,68%,50%,4.8,12.0,2.0,0.0,66.0,68.0,36.0,"Riverside, United States",53%,130 of 247,68%,8 of 19,4.17,6.26,44%,0.96,4.14,4.82,50%,02:36,both
3569,Ronnie Lawrence,The Heat,8.0,2.0,0 (1 NC),"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992",2.78,56%,1.75,52%,6.75,77%,45%,0.2,8.0,2.0,0.0,68.0,68.5,31.0,United States,56%,167 of 296,77%,14 of 35,2.78,6.75,52%,0.75,1.75,0.25,45%,12:00,both
3570,Ronny Markes,465,17.0,5.0,0,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988",2.17,53%,2.43,45%,3.13,40%,100%,0.5,14.0,3.0,0.0,73.0,75.0,,Brazil,53%,125 of 234,40%,,2.17,3.13,46%,0.0,2.43,0.52,100%,11:30,both
3571,Rony Jason,Jason,14.0,7.0,0 (1 NC),"5' 7""",145 lbs.,"73""",Orthodox,"Mar 21, 1984",2.04,44%,3.14,53%,0.59,30%,36%,0.8,15.0,7.0,0.0,67.0,,39.0,Brazil,44%,155 of 350,30%,3 of 10,2.04,0.59,54%,0.39,3.14,0.79,37%,08:28,both
3573,Ronys Torres,Jungle Boy,35.0,5.0,0,"5' 7""",155 lbs.,--,Orthodox,"Aug 13, 1975",0.87,26%,1.93,57%,4.0,47%,16%,0.5,18.0,3.0,0.0,67.0,,47.0,"Manaus, Brazil",26%,26 of 99,47%,,0.87,4.0,58%,0.0,1.93,0.5,17%,15:00,both
3574,Roosevelt Roberts,The Predator,12.0,5.0,0 (1 NC),"6' 2""",155 lbs.,"73""",Orthodox,"Feb 11, 1994",3.05,44%,3.12,52%,1.39,29%,52%,0.9,12.0,5.0,0.0,74.0,73.0,29.0,"Hollywood, United States",44%,264 of 596,30%,,3.05,1.39,53%,0.0,3.12,0.87,53%,08:39,both
3575,Roque Martinez,476,15.0,8.0,2,"5' 10""",250 lbs.,"72""",Orthodox,"Mar 04, 1986",3.28,53%,4.9,56%,0.38,50%,53%,0.4,15.0,8.0,2.0,70.0,72.0,37.0,"Tamuning, United States",54%,129 of 240,50%,,3.28,0.38,56%,0.0,4.9,0.38,54%,13:07,both
3576,Rory MacDonald,Red King,19.0,4.0,0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",3.75,42%,2.8,62%,1.77,47%,88%,0.4,18.0,4.0,0.0,72.0,76.0,33.0,"Quesnel, Canada",42%,667 of 1570,48%,,3.75,1.77,62%,0.08,2.8,0.42,89%,13:42,both
3577,Rory Markham,466,17.0,6.0,0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982",1.98,21%,10.27,45%,0.0,0%,0%,0.0,16.0,6.0,0.0,71.0,,41.0,"Oak Lawn, United States",22%,11 of 51,,,1.98,0.0,45%,2.7,10.27,0.0,,01:51,both
3578,Rory Singer,Outburst,11.0,9.0,0,"6' 2""",185 lbs.,"77""",Orthodox,"May 28, 1976",2.55,39%,2.42,63%,0.39,25%,64%,0.8,12.0,7.0,0.0,74.0,,47.0,"Brooklyn, United States",40%,97 of 245,25%,,2.55,0.39,64%,0.0,2.42,0.79,65%,09:31,both
3579,Rose Namajunas,Thug,13.0,6.0,0,"5' 5""",125 lbs.,"65""",Orthodox,"Jun 29, 1992",3.69,41%,3.51,63%,1.38,47%,59%,0.5,13.0,6.0,0.0,65.0,65.0,31.0,"Milwaukee, United States",42%,799 of 1925,48%,16 of 42,3.69,1.38,63%,0.28,3.51,0.48,59%,14:27,both
3580,Roshan Mainam,The Indian Notorious,6.0,3.0,0,--,135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,27.0,,,,33%,,,,,,,,,00:00,both
3582,Rosi Sexton,The Surgeon,13.0,5.0,0,"5' 3""",135 lbs.,--,Orthodox,"Jul 16, 1977",3.31,39%,7.42,41%,0.75,10%,80%,0.0,13.0,4.0,0.0,63.0,63.0,46.0,France,40%,132 of 332,10%,,3.31,0.75,41%,0.0,7.42,0.0,80%,13:18,both
3585,Ross Pointon,The Gladiator,6.0,17.0,0,"5' 8""",170 lbs.,--,Orthodox,"Feb 18, 1980",2.62,23%,2.77,58%,1.19,100%,0%,0.0,4.0,9.0,0.0,68.0,,43.0,"Stoke-on-Trent, United Kingdom",22%,27 of 124,,,2.54,0.0,58%,1.41,3.3,0.0,,05:19,both
3586,Rostem Akman,5,6.0,2.0,0,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.8,25%,3.97,57%,1.0,40%,87%,0.0,0.0,2.0,0.0,70.0,72.0,31.0,"Stockholm, Sweden",26%,54 of 210,40%,2 of 5,1.8,1.0,58%,0.0,3.97,0.0,88%,15:00,both
3587,Rousimar Palhares,Toquinho,19.0,8.0,0,"5' 8""",170 lbs.,"71""",Orthodox,"Feb 26, 1980",1.75,51%,2.04,59%,3.93,45%,0%,4.1,24.0,5.0,0.0,68.0,71.0,,Brazil,52%,147 of 283,46%,,1.75,3.93,60%,0.18,2.04,4.11,,04:56,both
