name,wins,losses,draws,height,reach,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time
Diego Rivas,7,2,0,68.00,69.00,31,"Temuco, Chile",40%,69 of 171,60%,6 of 10,1.37,1.79,52%,0.30,2.14,0.89,64%,12:36
Francisco Rivera,11,7,0,69.00,68.00,41,"Whittier, United States",41%,422 of 1024,64%,,4.07,1.01,68%,0.72,3.16,0.58,68%,08:38
Dante Rivera,10,3,0,72.00,,48,"New York City, United States",53%,34 of 64,0%,,2.27,0.00,25%,0.00,4.00,0.00,17%,15:00
Jorge Rivera,19,9,0,73.00,,51,"Framingham, United States",50%,378 of 761,50%,,3.27,0.91,54%,1.04,2.84,0.13,64%,07:43
Jimmie Rivera,23,5,0,64.00,68.50,33,"Passaic, United States",40%,552 of 1368,28%,5 of 29,4.03,0.88,60%,0.33,3.90,0.11,93%,12:27
Jerome Rivera,10,6,0,70.00,72.00,28,"Santa Fe, United States",34%,122 of 362,0%,,3.21,0.00,52%,0.00,2.60,0.00,40%,07:36
Irwin Rivera,10,6,0,66.00,67.00,34,"Mexico City, Mexico",44%,151 of 343,17%,,3.36,1.00,58%,0.00,5.07,0.00,70%,15:00
Pedro Rizzo,13,5,0,73.00,,49,Brazil,38%,209 of 557,29%,,2.01,0.29,51%,0.43,3.33,0.00,78%,12:59
Theo Rlayang,0,1,0,67.00,65.00,28,Vietnam,48%,89 of 184,40%,,5.93,2.00,41%,0.00,8.40,0.00,,15:00
Kali Robbins,6,2,0,63.00,63.50,39,"Wauwatosa, United States",47%,56 of 120,33%,,3.73,2.00,45%,0.00,9.40,0.00,,15:00
Karl Roberson,9,6,0,73.00,74.00,32,"Neptune City, United States",52%,213 of 411,40%,1 of 10,2.57,0.72,58%,0.36,2.42,0.54,43%,07:33
Buddy Roberts,12,3,0,74.00,,40,United States,34%,50 of 146,,,2.17,0.00,70%,0.00,2.08,0.65,76%,11:33
Danny Roberts,18,8,0,73.00,74.00,36,"London, United Kingdom",40%,405 of 1024,10%,,3.18,0.24,51%,0.35,3.73,0.24,58%,09:05
Daniel Roberts,12,4,0,70.00,,42,"Rockford, United States",20%,49 of 240,44%,,0.73,2.46,46%,0.00,2.27,2.46,40%,09:34
Tyrone Roberts,0,0,0,0.00,,,"Tama, United States",,,44%,,,,,,,,,
Joey Roberts,0,0,0,0.00,,,United States,,,44%,,,,,,,,,
Andre Roberts,0,0,0,0.00,,58,United States,,,44%,,,,,,,,,
Keifer Roberts,,,,,,30,,,,44%,,,,,,,,,
Roosevelt Roberts,12,5,0,74.00,73.00,29,"Hollywood, United States",44%,264 of 596,30%,,3.05,1.39,53%,0.00,3.12,0.87,53%,08:39
Gillian Robertson,12,8,0,65.00,63.00,28,"Niagara Falls, Canada",45%,380 of 836,41%,3 of 58,2.60,2.46,56%,0.00,3.21,0.92,44%,09:45
Kenny Robertson,15,5,0,70.00,74.00,39,"Peoria, United States",47%,327 of 695,27%,,3.72,1.37,52%,0.34,3.02,0.85,57%,09:46
Colin Robinson,9,4,0,76.00,,54,,69%,36 of 52,100%,,6.19,2.58,38%,0.00,7.91,5.16,50%,02:55
Alvin Robinson,10,4,0,68.00,,40,"West Covina, United States",50%,57 of 113,50%,,1.57,1.24,51%,0.00,1.29,1.24,25%,09:06
Mark David Robinson,1,0,0,72.00,,53,South Africa,0%,0 of 1,,,0.00,0.00,13%,0.00,5.80,0.00,,03:27
Vagner Rocha,11,4,0,70.00,73.00,41,United States,43%,85 of 200,33%,3 of 9,2.64,1.40,48%,0.00,4.50,1.86,50%,09:27
Carlos Eduardo Rocha,9,2,0,70.00,,,Brazil,34%,40 of 117,0%,,1.24,0.00,56%,0.00,1.85,1.39,53%,09:05
Keith Rockel,10,4,1,72.00,,57,United States,73%,11 of 15,75%,,1.13,4.63,67%,0.00,0.21,4.63,100%,04:52
Luke Rockhold,16,6,0,75.00,77.00,38,"Santa Cruz, United States",50%,612 of 1235,29%,5 of 24,4.10,0.70,54%,0.91,2.68,1.01,65%,07:45
Kleydson Rodrigues,8,3,0,65.00,67.00,27,"Almeirim, Brazil",62%,193 of 311,25%,2 of 8,5.48,0.85,49%,0.43,2.75,0.85,64%,08:49
Gregory Rodrigues,14,5,0,75.00,75.00,31,"Rio de Janeiro , Brazil",56%,337 of 607,50%,7 of 18,5.99,2.40,51%,1.07,5.67,0.53,100%,07:02
Mike Rodriguez,11,7,0,76.00,82.50,34,"Dorchester, United States",54%,331 of 615,0%,,4.35,0.00,41%,1.18,4.24,0.00,38%,08:28
Paul Rodriguez,0,0,0,68.00,,48,United States,100%,2 of 2,0%,,1.85,0.00,68%,0.00,5.54,0.00,50%,01:05
Manuel Rodriguez,10,4,0,69.00,,38,El Salvador,33%,4 of 12,75%,,0.81,9.09,38%,0.00,3.23,0.00,,04:57
Ricco Rodriguez,10,4,0,75.00,,43,United States,51%,313 of 610,39%,,1.85,2.30,61%,0.09,1.15,0.97,41%,12:27
Daniel Rodriguez,17,4,0,73.00,74.00,36,"Los Angeles, United States",50%,885 of 1765,50%,,7.30,0.62,57%,0.49,5.28,0.12,64%,11:02
Pete Rodriguez,5,1,0,69.00,71.00,26,"Tucson, United States",46%,47 of 102,,,10.37,0.00,45%,3.31,11.69,0.00,100%,02:16
Piera Rodriguez,9,1,0,63.00,63.50,30,"Maracaibo, Venezuela",47%,188 of 401,41%,3 of 29,3.46,3.31,57%,0.00,2.98,0.00,67%,13:35
Drako Rodriguez,7,3,0,68.00,69.50,27,"Rochester, United States",36%,69 of 190,67%,,3.37,2.93,58%,0.00,4.40,0.73,75%,06:49
Luis Rodriguez,0,1,0,,,24,"Chiapas, Mexico",37%,19 of 51,50%,,1.27,2.00,54%,0.00,3.20,2.00,100%,15:00
Victor Rodriguez,7,4,0,65.00,67.00,30,Mexico,38%,6 of 16,0%,,1.59,0.00,50%,0.00,6.11,0.00,,01:53
Marina Rodriguez,17,3,2,66.00,65.00,36,"State of Rio Grande do Sul, Brazil",49%,871 of 1786,43%,,4.77,0.25,56%,0.16,2.89,0.16,66%,14:03
Christian Rodriguez,10,1,0,67.00,71.50,25,"Chicago, United States",46%,225 of 487,55%,2 of 11,3.51,1.40,59%,0.00,2.46,1.40,70%,12:49
Ray Rodriguez,16,8,0,67.00,,35,"San Antonio, United States",28%,19 of 68,50%,,0.90,1.42,41%,0.00,3.89,0.00,44%,07:01
Yair Rodriguez,16,4,0,71.00,71.00,30,"Hidalgo Del Parral, Mexico",46%,859 of 1859,28%,8 of 32,4.63,0.73,52%,0.24,4.07,0.73,59%,13:16
Nick Roehrick,7,1,0,75.00,75.00,35,"Dayton, United States",18%,28 of 160,,,2.31,0.00,44%,0.00,6.92,0.00,,12:08
Saul Rogers,,,,,,33,United States,18%,28 of 160,,,,,,,,,,
Max Rohskopf,0,1,0,73.00,71.00,28,"Wooster, United States",31%,17 of 54,33%,,1.70,3.00,43%,0.00,5.80,1.50,,10:00
Marcelo Rojo,16,10,0,68.00,71.00,34,"Rio Cuarto, Argentina",40%,160 of 404,50%,1 of 2,4.92,0.46,55%,0.00,6.42,0.00,67%,10:51
Shane Roller,11,7,0,70.00,,43,United States,34%,224 of 655,34%,,2.04,2.46,60%,0.27,2.65,1.92,42%,07:50
Jared Rollins,9,4,0,69.00,,46,"Stanton, United States",57%,40 of 70,50%,,3.33,2.50,40%,1.25,2.41,1.25,50%,12:01
Alexandr Romanov,16,2,0,74.00,75.00,32,"Comrat City, Moldova",52%,282 of 542,54%,13 of 37,4.06,4.32,51%,0.00,2.20,0.86,20%,08:41
Ricardo Romero,11,3,0,72.00,,45,"North Brunswick, United States",56%,20 of 36,10%,,2.17,1.63,46%,0.00,4.77,3.26,100%,03:04
Kaleio Romero,0,1,0,70.00,69.00,27,"Sacramento, United States",49%,39 of 80,8%,,2.60,1.00,51%,0.00,3.27,1.00,,15:00
Anthony Romero,1,0,0,,,26,"Welland, Canada",53%,88 of 167,22%,,5.87,2.00,66%,0.00,4.00,0.00,100%,15:00
Yoel Romero,13,5,0,72.00,73.50,46,"Pinar Del Rio, Cuba",49%,693 of 1412,30%,20 of 69,3.44,1.57,61%,0.75,3.05,0.00,78%,14:22
Mara Romero Borella,12,9,0,66.00,69.00,37,"Ponte dell&#039;Olio, Italy",38%,167 of 440,44%,2 of 18,2.54,1.83,71%,0.00,2.48,0.23,67%,09:24
Juancamilo Ronderos,4,2,0,63.00,64.50,28,"Bogota, Colombia",31%,12 of 39,33%,,2.18,2.72,64%,0.00,2.18,0.00,,02:46
Rong Zhu,23,5,0,69.00,71.00,23,"Sichuan, China",50%,328 of 654,63%,10 of 16,5.60,2.56,46%,0.77,6.36,0.00,88%,11:42
Jesse Ronson,21,12,0,70.00,70.00,38,"London, Canada",48%,233 of 488,29%,2 of 7,3.54,0.46,57%,0.23,3.39,0.46,57%,10:58
George Roop,15,13,1,71.00,72.00,41,United States,34%,589 of 1728,57%,,3.43,1.05,61%,0.26,2.47,0.09,60%,10:45
Joao Roque,0,0,0,0.00,,51,United States,,,57%,,,,,,,,,
Aaron Rosa,17,5,0,76.00,,40,United States,47%,167 of 355,33%,,4.03,0.36,45%,0.00,4.41,0.36,86%,08:18
Charles Rosa,14,8,0,69.00,69.00,36,"Peabody, United States",36%,553 of 1524,35%,14 of 57,3.08,1.67,47%,0.00,3.86,1.00,38%,13:48
Marcos Rosa,6,6,0,73.00,76.00,36,"Guarulhos, Brazil",28%,5 of 18,,,0.25,0.00,43%,0.00,2.11,0.00,29%,09:58
Karol Rosa,17,6,0,65.00,67.50,28,"Vila Velha, Brazil",56%,856 of 1527,46%,,6.34,1.22,50%,0.22,4.78,0.00,68%,15:00
Jacob Rosales,11,5,0,71.00,74.00,27,"La Habra, United States",47%,193 of 415,18%,,7.19,1.12,44%,0.56,10.66,0.56,50%,13:25
Raul Rosas Jr.,8,1,0,69.00,67.00,18,"Clovis, United States",45%,43 of 96,33%,2 of 24,1.28,3.57,46%,0.45,1.52,1.78,,08:25
Hilarie Rose,4,2,0,,,30,"Newton, United States",34%,35 of 104,0%,,2.33,0.00,44%,0.00,6.13,0.00,100%,15:00
Jake Rosholt,6,2,0,73.00,,41,"Sandpoint, United States",54%,68 of 127,69%,,2.68,6.51,49%,0.00,2.33,1.78,,06:20
Jared Rosholt,14,3,0,74.00,75.00,36,"Sandpoint, United States",46%,222 of 482,42%,,2.08,1.83,60%,0.00,1.52,0.14,67%,13:19
Kevin Rosier,1,2,0,0.00,,,"Tampa, United States",,,42%,,,,,,,,,
Shannon Ross,13,9,0,66.00,74.00,34,"Sydney, Australia",39%,117 of 298,0%,,5.96,0.00,55%,0.00,7.39,0.00,100%,04:54
Kristian Rothaermel,40,4,0,72.00,,51,"Metairie, United States",50%,3 of 6,0%,,0.75,0.00,41%,0.00,2.49,0.00,,04:01
Ben Rothwell,39,14,0,76.00,78.50,41,"Kenosha, United States",43%,817 of 1919,34%,7 of 29,3.71,0.68,47%,0.61,4.63,0.41,70%,08:49
Khalil Rountree Jr.,14,5,0,73.00,76.50,33,"Los Angeles, United States",39%,451 of 1143,0%,,3.84,0.00,50%,1.66,4.18,0.13,59%,07:50
Ronda Rousey,12,2,0,66.00,68.00,36,"Riverside, United States",53%,130 of 247,68%,8 of 19,4.17,6.26,44%,0.96,4.14,4.82,50%,02:36
Phil Rowe,10,4,0,75.00,80.50,32,"Brooklyn, United States",53%,277 of 523,40%,2 of 10,3.94,0.85,54%,0.64,4.32,0.43,59%,11:43
Cam Rowston,0,0,0,,,28,"Sydney, Australia",,,40%,2 of 10,,,,,,,,00:00
Brandon Royval,15,7,0,69.00,68.00,31,"Denver, United States",43%,267 of 614,67%,2 of 3,3.80,0.43,46%,0.64,3.05,1.50,40%,08:47
Jairzinho Rozenstruik,13,5,0,74.00,78.00,35,"Paramaribo, Suriname",46%,258 of 562,,,2.81,0.00,45%,1.14,3.15,0.00,74%,07:39
Mauricio Rua,27,14,1,73.00,76.00,41,"Curitiba, Brazil",51%,1361 of 2670,49%,21 of 105,3.57,2.01,54%,0.87,2.79,0.71,49%,09:04
Rodrigo Ruas,0,0,0,0.00,,45,"Rio de Janeiro, Brazil",35%,11 of 31,,,1.28,0.00,41%,0.00,7.00,0.00,,08:34
Marco Ruas,0,0,0,0.00,,60,Brazil,35%,11 of 31,,,,,,,,,,
Rodolfo Rubio,12,8,0,65.00,,36,Mexico,36%,17 of 47,33%,,1.13,2.00,63%,0.00,1.00,0.00,33%,15:00
Gabe Ruediger,17,7,0,70.00,,45,United States,31%,25 of 80,11%,,1.70,2.04,41%,0.00,5.16,0.00,29%,04:55
Mauricio Ruffy,,,,,,,,,,11%,,,,,,,,,
Eddie Ruiz,7,2,0,67.00,,56,"Garden Grove, United States",25%,3 of 12,13%,,0.20,2.00,48%,0.00,1.40,0.00,,15:00
Montserrat Ruiz,10,4,0,60.00,61.00,30,"Leon, Mexico",27%,29 of 106,83%,4 of 6,0.79,2.05,38%,0.00,4.96,0.82,33%,09:08
Mike Russow,15,3,0,73.00,,,United States,47%,105 of 223,44%,,1.55,4.66,60%,0.22,2.90,0.67,,08:49
Bas Rutten,0,0,0,0.00,,58,Netherlands,61%,19 of 31,,,5.59,0.00,79%,4.41,2.06,0.00,,03:24
Nursulton Ruziboev,35,8,2,77.00,76.00,29,"Andijan region, Uzbekistan",67%,6 of 9,100%,1 of 1,4.68,11.69,40%,0.00,2.34,0.00,,01:17
Cameron Saaiman,9,1,0,68.00,67.00,22,"Pretoria, South Africa",47%,318 of 682,36%,,5.28,1.00,56%,0.50,3.24,0.75,44%,12:03
Danny Sabatello,1,0,0,,,30,"Chicago, United States",57%,31 of 54,75%,,2.07,3.00,25%,0.00,0.20,1.00,100%,15:00
Pat Sabatini,18,5,0,68.00,70.00,33,"Bristol, United States",60%,114 of 191,42%,6 of 33,2.02,3.73,49%,0.27,1.54,1.86,50%,08:03
Amir Sadollah,7,5,0,71.00,74.00,42,United States,46%,621 of 1336,28%,,4.71,0.57,61%,0.00,3.55,0.34,61%,12:00
Nazim Sadykhov,9,1,1,70.00,69.00,29,Russia,49%,216 of 443,63%,1 of 8,4.94,1.71,49%,0.69,5.72,0.34,75%,10:56
Frankie Saenz,13,7,0,66.00,66.00,42,"Phoenix, United States",47%,509 of 1073,32%,14 of 47,3.94,1.74,52%,0.23,3.50,0.12,62%,12:56
Saparbeg Safarov,9,3,0,73.00,78.00,36,Russia,48%,120 of 249,42%,2 of 12,4.03,2.52,48%,0.00,2.96,0.00,33%,07:27
Tarec Saffiedine,16,7,0,70.00,70.00,36,"Brussels, Belgium",48%,942 of 1963,36%,4 of 22,4.05,0.52,62%,0.26,3.06,0.13,85%,15:31
Jason Saggo,12,4,0,71.00,71.00,37,"Toronto, Canada",40%,161 of 405,40%,10 of 25,2.50,2.33,52%,0.23,2.94,0.00,23%,10:44
Wang Sai,8,5,1,0.00,,37,United States,47%,95 of 203,0%,,3.17,0.00,53%,0.00,2.27,0.00,78%,15:00
Benoît Saint Denis,13,1,0,71.00,73.00,27,"Nîmes, France",53%,237 of 451,36%,2 of 36,5.53,4.55,45%,1.40,5.20,1.40,67%,07:09
Ovince Saint Preux,26,17,0,75.00,80.00,40,"Immokalee, United States",47%,848 of 1802,38%,9 of 63,2.71,1.15,46%,0.43,3.14,0.53,67%,09:30
Lukasz Sajewski,13,3,0,68.00,71.00,32,"Gdansk, Poland",36%,61 of 170,25%,,2.06,1.01,58%,0.00,3.88,0.00,67%,09:52
Augusto Sakai,16,5,1,75.00,77.00,32,"Curitiba, Brazil",49%,610 of 1245,40%,1 of 5,4.60,0.23,49%,0.34,3.83,0.00,56%,11:04
Alessio Sakara,19,11,0,72.00,72.00,41,United States,48%,299 of 626,79%,,3.96,2.18,59%,0.79,2.80,0.00,63%,05:02
Gokhan Saki,1,2,0,72.00,73.00,39,"Kars, Turkey",58%,45 of 77,,,7.09,0.00,53%,4.72,4.57,0.00,100%,03:11
Kazushi Sakuraba,26,17,1,0.00,,54,Japan,41%,314 of 760,31%,,1.26,1.26,52%,0.24,2.03,1.74,49%,08:19
Hayato Sakurai,16,3,2,68.00,,47,"Tokyo, United States",42%,5 of 12,,,0.28,0.00,59%,0.83,25.03,0.00,57%,18:01
Justin Salas,12,7,0,68.00,70.00,41,United States,43%,169 of 391,21%,,3.42,2.43,69%,0.30,2.96,0.00,,07:03
Ivan Salaverry,12,6,1,72.00,,52,"Toronto, Canada",48%,115 of 240,20%,,2.24,0.58,77%,0.29,1.40,2.92,37%,07:21
Roman Salazar,9,4,0,67.00,67.00,35,United States,39%,33 of 84,18%,,1.95,1.77,57%,0.00,2.89,0.00,50%,05:39
Luis Saldana,16,7,1,71.00,73.00,32,"Des Moines, United States",51%,365 of 722,18%,,5.16,0.64,60%,0.64,3.65,0.21,44%,14:09
Muslim Salikhov,19,4,0,71.00,70.00,39,Russia,51%,346 of 675,41%,,3.37,1.31,62%,0.44,2.91,0.00,74%,11:25
Quillan Salkilld,0,0,0,,,23,,,,41%,,,,,,,,,00:00
Boston Salmon,6,3,0,69.00,69.00,32,"Honolulu, United States",37%,73 of 196,0%,,4.13,0.00,60%,0.00,7.75,0.00,100%,05:53
Sean Salmon,9,3,0,70.00,,45,"Milwaukee, United States",38%,11 of 29,50%,,1.58,4.30,65%,0.00,2.15,0.00,,03:30
John Salter,5,2,0,73.00,,38,"Gardendale, United States",24%,31 of 131,40%,,1.35,2.61,69%,0.00,2.31,0.00,67%,07:40
Dylan Salvador,0,1,0,,,30,,38%,12 of 32,,,4.34,0.00,47%,0.00,11.57,0.00,,02:46
Vinicius Salvador,14,6,0,67.00,70.50,27,"Varginha, Brazil",43%,214 of 500,11%,1 of 9,5.44,0.38,50%,1.14,6.05,0.00,87%,13:07
Josh Samman,12,5,0,74.00,79.00,35,"Orlando, United States",53%,86 of 163,33%,,2.08,1.09,35%,0.73,2.47,0.36,33%,08:15
Josh Sampo,11,5,0,64.00,66.00,38,United States,36%,85 of 233,33%,,1.99,1.06,56%,0.00,2.96,2.11,40%,10:39
Roberto Sanchez,8,2,0,66.00,66.50,37,"Houston, United States",41%,20 of 49,63%,5 of 8,0.96,3.61,46%,0.00,1.78,0.72,50%,06:55
Eddie Sanchez,10,3,0,74.00,,40,"La Jolla, United States",43%,183 of 423,27%,,3.45,1.13,43%,1.13,3.30,0.00,43%,08:50
Joby Sanchez,11,4,0,66.00,68.00,31,United States,36%,254 of 705,71%,2 of 7,3.22,0.95,64%,0.38,2.82,0.38,52%,11:15
Andrew Sanchez,13,7,0,73.00,74.00,35,"Belleville, United States",44%,557 of 1275,37%,13 of 60,4.30,2.55,51%,0.35,5.10,0.00,100%,12:58
Diego Sanchez,32,13,0,70.00,72.50,41,"Albuquerque, United States",38%,1120 of 2954,24%,31 of 175,2.69,1.51,56%,0.25,3.02,0.83,46%,11:54
Julian Sanchez,0,0,0,0.00,,,"San Antonio, United States",,,24%,31 of 175,,,,,,,,
Jesse Sanders,21,5,0,72.00,,,"Oskaloosa, United States",0%,0 of 3,,,0.00,0.00,35%,0.00,6.45,0.00,50%,02:01
Jerrod Sanders,15,3,0,67.00,72.00,43,"El Reno, United States",65%,24 of 37,33%,,0.88,2.20,47%,0.00,1.14,1.65,50%,06:50
Luke Sanders,13,5,0,66.00,67.00,37,"Brenham, United States",53%,416 of 791,30%,1 of 10,6.61,0.71,51%,0.95,4.37,0.24,73%,07:21
Cory Sandhagen,17,4,0,71.00,70.00,31,"Aurora, United States",44%,939 of 2112,33%,1 of 48,5.33,1.36,58%,0.34,3.40,0.34,64%,13:34
Joseph Sandoval,6,2,0,67.00,,37,United States,43%,3 of 7,,,1.82,0.00,61%,0.00,12.12,0.00,,00:50
Hector Sandoval,14,4,0,62.00,64.00,36,Mexico,52%,71 of 136,25%,5 of 20,3.31,3.49,66%,0.00,2.33,1.40,71%,05:22
Chris Sanford,0,0,0,0.00,,55,"Pleasant Hill, United States",50%,1 of 2,,,0.23,0.00,18%,0.00,3.22,3.45,,04:21
Roldan Sangcha-an,4,2,0,64.00,65.00,32,"Manilla, Philippines",47%,63 of 135,60%,,2.71,1.94,52%,0.00,2.15,0.00,69%,11:37
Martin Sano,4,3,0,71.00,75.00,32,"Vallejo, United States",33%,1 of 3,,,4.00,0.00,40%,0.00,12.00,0.00,,00:15
Duda Santana,3,1,0,67.00,73.00,26,"Rio De Janeiro, Brazil",40%,42 of 106,60%,3 of 5,6.01,6.44,73%,0.00,2.72,0.00,,06:59
Shaheen Santana,0,1,0,,,32,"Brooklyn, United States",43%,9 of 21,0%,,0.82,0.00,40%,0.00,1.65,2.75,,10:55
Sean Santella,0,0,0,64.00,,38,"Dover, United States",,,0%,,,,,,,,,
Mike Santiago,21,12,0,70.00,69.00,33,"Melrose Park, United States",49%,97 of 197,50%,5 of 10,3.44,2.66,36%,0.53,3.58,1.06,54%,07:03
Will Santiago,9,6,0,67.00,69.50,40,"Lawrence, United States",39%,22 of 56,50%,,1.47,1.00,56%,0.00,5.53,0.00,100%,15:00
Jorge Santiago,23,11,0,73.00,,42,Brazil,35%,132 of 372,30%,,1.69,0.58,56%,0.58,2.62,0.77,52%,08:40
Richie Santiago,7,1,0,67.00,,30,"Waltham, United States",50%,58 of 117,0%,,3.87,0.00,43%,0.00,4.87,0.00,25%,15:00
Art Santore,14,6,0,67.00,,50,United States,,,0%,,,,,,,,,
Yana Santos,14,8,0,66.00,68.50,33,Russia,57%,452 of 794,53%,1 of 15,4.16,1.11,50%,0.00,3.03,0.14,43%,12:04
Bruno Santos,14,2,0,69.00,69.00,35,Brazil,46%,53 of 115,38%,,1.18,3.00,57%,0.00,2.27,0.33,67%,15:00
Iliarde Santos,27,9,1,65.00,66.00,42,Brazil,30%,81 of 270,23%,,3.00,1.66,57%,0.00,6.10,0.00,83%,09:01
Leonardo Santos,18,7,1,72.00,75.00,43,"Rio De Janeiro, Brazil",47%,336 of 717,26%,5 of 27,2.82,0.88,54%,0.38,3.40,0.25,87%,10:50
Thiago Santos,22,11,0,74.00,76.00,39,Brazil,48%,888 of 1844,33%,5 of 42,3.72,0.88,54%,0.88,2.57,0.06,66%,09:57
Adriano Santos,0,0,0,0.00,,,United States,,,33%,5 of 42,,,,,,,,
Taila Santos,19,3,0,66.00,68.00,30,"Jaraguá do Sul, Brazil",48%,406 of 845,76%,1 of 21,3.39,2.00,58%,0.38,2.64,1.13,86%,14:59
Edivan Santos,0,1,0,76.00,78.00,31,"Sao Luiz, Brazil",49%,17 of 35,,,1.55,0.00,26%,0.00,7.09,0.00,25%,11:00
Daniel Santos,12,2,0,67.00,67.00,28,"Uberaba, Brazil",37%,168 of 454,50%,,4.26,1.90,51%,0.38,5.12,0.00,73%,13:09
Marilia Santos,0,0,0,,,30,"State of Bahia, Brazil",54%,66 of 122,100%,,4.40,1.00,53%,0.00,4.07,1.00,67%,15:00
Gabriel Santos,10,2,0,69.00,70.00,26,"State of Ceará, Brazil",55%,108 of 195,47%,5 of 15,4.46,4.34,45%,0.00,6.03,1.24,67%,12:07
Luana Santos,7,1,0,66.00,68.00,23,Brazil,56%,116 of 209,50%,,6.21,1.61,64%,0.00,3.64,0.00,67%,09:21
Nick Sanzo,0,0,0,0.00,,,"Niskayuna, United States",,,50%,,,,,,,,,
Daniel Sarafian,10,6,0,0.00,,40,"Sao Paulo, Brazil",,,50%,,,,,,,,,
Jeka Saragih,14,3,0,68.00,69.00,28,Indonesia,,,50%,,,,,,,,,00:00
Diego Saraiva,9,6,1,66.00,,41,"Fortaleza, Brazil",33%,74 of 227,40%,,1.64,1.33,62%,0.00,3.58,0.67,,15:00
Ulka Sasaki,20,6,2,71.00,71.00,33,Japan,41%,139 of 336,43%,13 of 30,2.16,3.03,50%,0.00,2.50,1.16,41%,07:10
Yuki Sasaki,20,12,1,74.00,,46,"Hokkaido, Japan",39%,26 of 66,,,1.73,0.00,57%,0.00,2.80,0.00,67%,15:00
Paul Sass,13,2,0,72.00,,34,"Liverpool, United Kingdom",26%,15 of 57,17%,,0.53,0.53,52%,0.00,1.90,7.38,33%,05:41
Keisuke Sasu,1,2,0,,,28,Japan,49%,47 of 95,30%,,2.73,2.61,57%,0.00,1.86,2.61,62%,07:59
Takashi Sato,16,8,0,70.00,73.00,33,Japan,42%,131 of 315,38%,,2.21,0.76,44%,0.51,3.73,0.00,61%,08:28
Takenori Sato,17,10,7,70.00,,38,Japan,33%,1 of 3,0%,,0.46,0.00,10%,0.00,12.92,0.00,,01:05
Chris Saunders,9,3,0,0.00,,37,,,,0%,,,,,,,,,
Ben Saunders,22,13,2,74.00,77.50,40,"Fort Lauderdale, United States",50%,486 of 968,40%,2 of 5,3.23,0.20,51%,0.30,3.58,1.30,67%,07:55
Townsend Saunders,0,0,0,0.00,,,"White Sands, United States",,,40%,2 of 5,,,,,,,,
Matt Sayles,8,4,0,67.00,68.50,29,"Chula Vista, United States",42%,201 of 481,17%,,4.83,0.36,62%,0.36,2.81,0.72,82%,08:20
Brandon Sayles,0,0,0,,,42,United States,,,17%,,,,,,,,,00:00
Mark Scanlon,7,1,0,69.00,,,United Kingdom,35%,33 of 94,75%,,2.20,3.00,49%,0.00,3.33,2.00,25%,15:00
Eric Schafer,14,7,2,75.00,,45,"Fond du Lac, United States",34%,141 of 409,36%,,1.89,1.81,57%,0.00,3.38,1.81,50%,08:17
Kerry Schall,19,7,0,75.00,,51,"Cincinnati, United States",12%,8 of 68,,,0.94,0.00,63%,0.00,4.84,0.00,,08:28
Brendan Schaub,11,5,0,76.00,78.00,40,United States,38%,227 of 602,46%,,2.92,2.32,57%,0.77,2.22,0.39,73%,07:03
Matheus Scheffel,0,1,0,74.00,75.00,30,,36%,4 of 11,,,1.33,0.00,47%,0.00,3.00,0.00,100%,03:00
Fabiano Scherner,5,3,0,75.00,,50,"Tres Passos, Brazil",32%,18 of 57,33%,,1.31,1.09,38%,0.00,3.20,0.00,40%,06:53
Samy Schiavo,10,6,0,67.00,,47,"Avignon, France",35%,27 of 78,50%,,1.68,0.94,38%,0.00,2.62,0.94,67%,08:01
Pat Schilling,5,2,0,68.00,,34,United States,27%,31 of 115,0%,,1.87,0.00,53%,0.00,8.24,0.00,,08:19
Semmy Schilt,26,9,1,83.00,,,Netherlands,59%,16 of 27,,,1.48,0.00,54%,2.77,8.60,0.00,47%,05:25
Matt Schnell,16,7,0,68.00,70.00,33,United States,40%,405 of 1022,44%,1 of 9,4.24,0.63,56%,0.16,4.46,1.10,47%,07:58
Josh Schockman,7,0,0,76.00,,42,"Nashville, United States",33%,13 of 40,,,0.87,0.00,58%,0.00,0.87,0.00,23%,15:00
Alex Schoenauer,17,9,0,75.00,,45,Argentina,25%,1 of 4,,,3.00,0.00,43%,0.00,84.00,0.00,22%,00:20
Darrill Schoonover,10,1,0,74.00,,37,"El Paso, United States",33%,16 of 48,0%,,1.20,0.00,39%,0.00,4.35,1.13,50%,13:20
Nate Schroeder,0,0,0,0.00,,,United States,,,0%,,,,,,,,,
Mark Schultz,1,0,0,0.00,,,"Lindon, United States",,,0%,,,,,,,,,
Justin Scoggins,11,5,0,67.00,66.00,31,"Spartanburg, United States",52%,359 of 694,64%,23 of 36,3.56,3.42,56%,0.15,2.16,0.45,83%,11:12
Bradley Scott,12,6,0,73.00,76.00,33,"Bath, United Kingdom",42%,327 of 787,15%,2 of 13,3.52,0.32,57%,0.32,4.31,0.65,64%,11:38
Neil Seery,16,13,0,66.00,64.00,43,"Dublin, Ireland",41%,344 of 836,28%,5 of 18,3.56,0.78,59%,0.31,3.79,1.55,54%,13:49
Tetsuya Seki,0,0,0,,,,,,,28%,5 of 18,,,,,,,,00:00
